seller_id;avg_seller_score;avg_seller_delivery_days;total_orders
e7d5b006eb624f13074497221eb37807;2;11.37;18
c60b801f2d52c7f7f91de00870882a75;2;16.11;19
bbad7e518d7af88a0897397ffdca1979;2;15.24;37
bc47d5d1490df2b36add65d733eafaba;2;11.45;11
a49928bcdf77c55c6d6e05e09a9b4ca5;2;16.63;60
"""602044f2c16190c2c6e45eb35c2e21cb""";2;15.41;32
"""2eb70248d66e0e3ef83659f71b244378""";2;18.25;96
"""2709af9587499e95e803a6498a5a56e9""";2;13.13;17
"""2a261b5b644fa05f4f2700eb93544f2c""";2;16;31
"""1ca7077d890b907f89be8c954a02686a""";2;15.38;71
"""099095b050cfe8eb1ddff5317587e96e""";2;10.57;11
"""00fc707aaaad2d31347cf883cd2dfe10""";3;15.71;54
"""0176f73cc1195f367f7b32db1e5b3aa8""";3;13.75;23
"""001cca7ae9ae17fb1caed9dfb1094831""";3;13.31;130
"""04308b1ee57b6625f47df1d56f00eedf""";3;19.98;55
"""056b4ada5bbc2c50cc7842547dda6b51""";3;9.88;42
"""06579cb253ecd5a3a12a9e6eb6bf8f47""";3;12.18;40
"""066a6914e1ebf3ea95a216c73a986b91""";3;12.45;40
"""0691148aee60ca47977c187804f935ae""";3;14.08;31
"""062ce95fa2ad4dfaedfc79260130565f""";3;14.91;32
