customer_country;customer_state;total_customers;avg_state_score;avg_state_delivery_days
Brazil;PA;578;3;23,92
Brazil;SE;210;3;22,23
Brazil;MA;451;3;21,58
Brazil;CE;796;3;20,96
Brazil;AL;256;3;24,19
Brazil;BA;2043;3;19,32
Brazil;RJ;7517;3;15,28
Brazil;PI;292;3;19,92
Brazil;AM;94;4;26,06
Brazil;ES;1205;4;15,43
Brazil;SP;24867;4;8,69
Brazil;SC;2182;4;14,79
Brazil;RR;23;4;29,74
Brazil;MG;6997;4;11,83
Brazil;MS;426;4;15,49
Brazil;GO;1212;4;15,82
Brazil;RN;307;4;19,36
Brazil;AP;37;4;29,14
Brazil;TO;158;4;18,28
Brazil;RO;162;4;19,77
Brazil;DF;1285;4;12,75
Brazil;MT;530;4;17,47
Brazil;PR;3017;4;11,95
Brazil;RS;3295;4;15,26
Brazil;AC;43;4;22,7
Brazil;PE;962;4;18,03
Brazil;PB;319;4;20,23
